"Topic","Question","Answer"
"Acid Base Equilibria","What is the pH of a solution with a [H+] of 7.89 x10-15 mol dm-3","14.1"
"Acid Base Equilibria","Rearrange the definition of pH to make [H+(aq)] the subject","[H+(aq) = 10-pH"
"Acid Base Equilibria","What is the [H+(aq)] of a solution with a pH of 9.2?","6.31x10-10 moldm-3"
"Acid Base Equilibria","Calculate the pH of the solution formed by addingof 250 cm3 of water to 50 cm3 of 0.200 mol dm-3 HNO3","1.48"
"Acid Base Equilibria","Calculate the pH of the following solution 100 g dm-3 H2SO4","-0.31"
"Acid Base Equilibria","What is the formula of the ionic prodcut of water Kw","Kw = [H+][OH-]"
"Acid Base Equilibria","What is the relationship between pH and pOH?","pH + pOH = 14"
"Acid Base Equilibria","Calculate the pH of the following solution: 0.20 mol dm-3 Ba(OH)2","13.6"
"Acid Base Equilibria","Calculate the pH of the solution formed by theaddition of 100 cm3 of water to 25 cm3 of 0.100 mol dm-3 NaOH","12.3"
"Acid Base Equilibria","Write a general equation for the dissociation of a weak acid","HA(aq) →A¯(aq)+H+(aq)"
"Acid Base Equilibria","What are the two assumptions one makes when calculating the pH of a weak acid?","The amount of HA at equilibrium is equal to the amount of HA put into the solution and[H+(aq)]= [A¯(aq)]"
"Acid Base Equilibria","What does the general formula for the acid dissociation constant become when these two assumptions are applied?","Ka=[H+(aq)]2/[HA(aq)]"
"Acid Base Equilibria","Write the fomula you use to calculate the pH of a weak acid.","[H+(aq)]=√ [HA(aq)] Ka"
"Acid Base Equilibria","Calculate the pH of the following weak acid:0.200 mol dm-3 butanoic acid (Ka = 1.51 x 10-5 mol dm-3)","2.76"
"Acid Base Equilibria","Calculate the Ka value for phenylethanoic acid given that a 0.100 mol dm-3 solution has a pH of 2.66","4.79 x 10-5 mol dm-3"
"Acid Base Equilibria","Write the seven steps for the calculation of the pH of a solution formed by the reactions between a weak acid and a strong base if the acid is in excess.","Calculate moles HA (it is still HA and not H+ as it is a weak acid), Calculate moles OH,Calculate moles XS HA,Calculate moles HA left and A- formed, Calculate [HA] leftover and [A-] formed,Use Ka to find [H+],Find pH"
"Acid Base Equilibria","Write the six steps for the calculation of the pH of a solution formed by the reactions between a weak acid and a strong base if the OH- is in excess.","Calculate moles HA (it is still HA and not H+ as it is a weak acid), Calculate moles OH,Calculate moles XS OH, Calculate [OH-], Use Kw to find [H+], Find pH"
"Acid Base Equilibria","Calculate the pH of the solution formed when 50 cm3 of 0.500 mol dm-3 ethanoic acid (pKa = 4.76) is added to 50 cm3 of 0.250 mol dm-3 KOH","4.76"
"Acid Base Equilibria","What is a titration?","a solution of accurately known concentration is added gradually added to another solution of unknown concentration until the chemical reaction between the two solutions is complete."
"Acid Base Equilibria","What is the equivalence point of a titration?","the point at which the titration reaction is complete"
"Acid Base Equilibria","Define what types of substances are suitable to be indicators","They are weak acids whose conjugate base is a different colour to the acid."
"Acid Base Equilibria","How do you select a suitable indicator for a particular type of titration.","The pH range of the suitable indicator fits within the vertical section of the titration curve."
"Acid Base Equilibria","Methyl Orange has a pH range of 3.1-4.4 for what types of titration Is it suitable?","Strong acid, Strong base. Strong acid, Weak Base"
"Acid Base Equilibria","Phenolpthalein has a pH range of 8.3-10.0for what types of titration Is it suitable?","Strong acid, Strong base. Weak acid, Strong Base"
"Acid Base Equilibria","What is the typical equivalence point of a strong acid strong base titration?","7"
"Acid Base Equilibria","What is the typical equivalence point of a strong acid weak base titration?","5"
"Acid Base Equilibria","What is the typical equivalence point of a weak acid strong base titration?","9"
"Acid Base Equilibria","What is the typical pH range of the vertical section of a strong acid strong base titration curve?","3 to 10"
"Acid Base Equilibria","What is the typical pH range of the vertical section of a weak acid strong base titration curve?","7 to 11"
"Acid Base Equilibria","What is the typical pH range of the vertical section of a strong acid weak base titration curve?","3 to 7"
"Acid Base Equilibria","Explain how one can use a titration curve to calculate Ka of a weak acid.","Half way to the equivalence point [HA(aq)] = [A¯ (aq) ], so pKa = pH"
"Acid Base Equilibria","Define what is a buffer solution","Solutions which resist changes in pH whensmall quantities of acid or alkali are added."
"Acid Base Equilibria","Describe the most common way of making a buffer solution.","A buffer solution is made from a weak acid and the salt of the weak acid."
"Acid Base Equilibria","Describe an additional way of making a buffer solution","Adding a measured amount of hydroxide ions to a weak acid"
"Acid Base Equilibria","What are the two assumption we make when calculate the pH of a buffer solution.","All the A- ions come from the salt, Almost all the HA molecules put into the buffer remain unchanged"
"Acid Base Equilibria","What does the general formula for the acid dissociation constant become when the assumptions for a buffer solution are applied?","Ka = [H+(aq)] x[salt]/ [acid]"
"Acid Base Equilibria","What happens if an acidic substance is added to a buffer?","Any rise in [H+(aq)] disturbs the equilibrium. Some A-(aq) ions from the salt react with the extra H+(aq) ions to form HA(aq) and water.A significant fall in pH is prevented."
"Acid Base Equilibria","Calculate the pH of the following buffer solutions made by mixing50.0 cm3 of 1.00 mol dm-3 methanoic acid (Ka = 1.78 x 10-4 mol dm-3 with20.0 cm3 of 1.00 mol dm-3 sodium methanoate","3.35"
"Acid Base Equilibria","Calculate the pH of the following buffer solution made by mixing 100 cm3 of 1.00 mol dm-3 ethanoic acid (Ka = 1.78 x 10-4 mol dm-3 ) is mixed with 50.0 cm3 of 0.8000 mol dm-3 sodium hydroxide.","3.57"
"Rate Equations","What is the unit of rate of reaction?","mol dm-3s-1"
"Rate Equations","Write a rate equation for a reaction that is first order with respect to reactant A and 2nd order with reactant B.","r=k [A] [B]2"
"Rate Equations","For a reaction that is second order with respect to reactant A, what will happen to the rate of reaction if the concentration of A is doubled?","It will be quadrupled."
"Rate Equations","Explain what the order of a particular reactant is in terms of the particles of that reactant in the mechanism of the reaction","The order of a particular reactant is the number of particles of that reactant that participate before or during the rate determining step."
"Rate Equations","What is the order of a particular reactant in the rate equation of a particular reactant","The power to which a concentration is raised in the rate equation"
"Rate Equations","What is the overall order of a chemical reaction.","The sum of all the individual orders in the rate equation."
"Rate Equations","If a reaction is zero order with respect to a reactant Z what is the effect on the rate of a reaction of increasing the the concentration of Z","No effect."
"Rate Equations","If a reaction is zero order with respect to a reactant Z where must Z be in the mechanism of the reaction?","After the Rate Determining Step"
"Rate Equations","What is the unit of the rate constant k in this rate equation? rate = k [A]","s-1"
"Rate Equations","What is the unit of the rate constant k in this rate equation? rate = k [P] [C]","mol-1dm3s-1"
"Rate Equations","What is the unit of the rate constant k in this rate equation?rate = k [D]2 [B]","mol-2 dm6s-1"
"Rate Equations","How does a catalyst increase the rate of a reactant?","Catalysts provide an alternative reaction pathway with a lower Activation Energy. Decreasing the Activation Energy means that more particles will have sufficient energy to overcome the energy barrier and react"
"Rate Equations","The Arrhenius equation is lnK = lnA- Ea/RT. Describe how a graph that could be plotted from a number of values of K(rate constant)and T (Temperature in K) to determine the value of activation energy Ea","lnK should be plotted on the y axis, 1/T on the x axis then the gradient is -Ea/R"
"Kp","What is the only way that the value of Kc or Kp for a particular equilibrium can be changed","A change in temperature"
"Kp","What effect does changes to any of the following have on the value of the equilibrium constant: concentration of reactants or products,a change of pressure,adding a catalyst","No Effect"
"Kp","One mole of ethanoic acid reacts with one mole of ethanol at 298K. When equilibrium is reached it is found that two thirds of the acid has reacted.\nCalculate the value of Kc.\nCH\u2083COOH(l)+C\u2082H\u2085OH(l) \u21cc CH\u2083COOC\u2082H\u2085(l)+H\u2082O(l)","4"
"Kp","What is the formula for mole fraction?","number of moles of a substance/number of moles of all substances present"
"Kp","What is the formula for partial pressure?","partial pressure= total pressurexmole fraction"
"Kp","What is formula for total pressure of a mixture of gases in terms of its partial pressure.","total pressure= sum of the partial pressures"
"Kp","A mixture of 16g of O2and 42g of N2, exerts a total pressure of20000 Nm-2. What is the partial pressure of each gas ?","O2 = 5000N/M2N2= 15000N/M2"
"Kp","When nitrogen (1 mole) and hydrogen (3 moles) react at constanttemperature at a pressure of 8 x 106 Pa, the equilibrium mixturewas found to contain 0.7 moles of ammonia.\nCalculate KpN2(g)+3H2(g) \u21cc 2NH3(g)","1.73 x 10-14Pa-2"
"Kp","1.000 moles of PCl5 vapour are heated to 500 K in a sealed vessel. The equilibrium mixture, at a pressure of 625 kPa, contains 0.600 moles of chlorine. Calculate Kp.PCl5(g) \u21cc PCl3(g) + Cl2(g)","352KPa"
"Kp","For this equilibrium\n2 SO2(g) + O2(g) \u21cc 2 SO3(g) \ncalculate Kp if pO2 = 102 kPa, pSO2 = 251 kPa, pSO3 = 508 kPa.","0.402KPa-1"
"Kp","A mixture of 1.90 moles of H2 and 1.90 moles of I2 were allowed to reach equilibrium at 710 K. The equilibrium mixture was found to contain 3.00 moles of HI. Calculate Kp: H2(g) + I2(g) \u21cc 2 HI(g)","56.3"
"Aromatic Chemistry","What is the empirical formula of this Hydrocarbon Carbon = 92% Carbon (Atomic mass = 12) , Hydrogen = 8 % (Atomic mass = 1)","CH"
"Aromatic Chemistry","What is the molecular formula of this Hydrocarbon Carbon = 92% Carbon (Atomic mass = 12)Hydrogen = 8 % (Atomic mass = 1), Relative molecular mass = 78","C6H6"
"Aromatic Chemistry","Draw the structure that Kekule proposed for Benzene","..."
"Aromatic Chemistry","What chemical test shows that Benzene molecules do not contain any double bonds?","It does not decolourise bromine water."
"Aromatic Chemistry","Describe the shape and structure of a Benzene molecule in full","hexagon, planar, all carboncarbon bonds the same length."
"Aromatic Chemistry","How do the carbon carbon bond lengths in a benzene molecule prove it cannot be made up ofalternate double and single carbon carbon bonds.","All the carbon carbon bonds are the same length."
"Aromatic Chemistry","The enthalpy of hydrogenation of cyclohexene is -120KJ/Mol, The enthalpy of hydrogenation of benzene is -208KJ/Mol. By how many KJ/Mol is Benzene more stable than you would expect","152KJ/mol"
"Aromatic Chemistry","What word describeshow the electrons are delocalized (spread) across the whole Benzene molecule?","Conjugation."
"Aromatic Chemistry","How does valence bond theory describe the bonding in Benzene?","unhybridized p-orbitals which overlap forming a cloud of electron density above and below the molecule."
"Aromatic Chemistry","Give four pieces of evidence that Benzene does not contain the Kekule structure?","The carbon -carbon bond lengths are all the same, Benzene does not undergo electrophilic addition reactions, Benzene molecules are 152KJ/Mol more stable than the Kekule structure."
"Aromatic Chemistry","Describe the flame that is produced when Benzene is burnt in air","Yellow and Smokey"
"Aromatic Chemistry","Explain why Benzene burns with such a yellow and smoky flame.","Benzene has a very high carbon hydrogen bond ratio."
"Aromatic Chemistry","What are the conditions required to convert Benzene to Cyclohexane by reaction with Hydrogen","Rayney Nickel Catalyst at 150oC"
"Aromatic Chemistry","Why do electrophiles that react with benzene have to be stronger than those that react with alkenes","Because the mechanism involves an initial disruption to the ring. The delocalized electrons in the benzene ring make it more stable."
"Aromatic Chemistry","What are the required reagents and conditions for the nitration of benzene.","conc. nitric acid and conc. sulphuric acid (catalyst), reflux at 55°C"
"Aromatic Chemistry","Draw out the mechanism for the nitration of benzene","..."
"Aromatic Chemistry","Write the equation for the formation of the nitrate electrophile when nitric acid reacts with concentrated sulfuric acid.","2H2SO4+HNO3<---->2HSO4¯+H3O++NO2+"
"Aromatic Chemistry","Write the equation for the formation of the chlorine electrophile which is formed by the reactions of FeCl3 with Cl2","Cl2+FeCl3 ------------>FeCl4¯+Cl+"
"Aromatic Chemistry","What are the conditions for the chlorination of benzene","reflux in the presence of a halogen carrier e.g. Fe, FeCl3, AlCl3"
"Aromatic Chemistry","Draw the structure of the product of the reaction between Benzene and fuming sulfuric acid.","..."
"Aromatic Chemistry","What are the reagentsfor the Friedel Crafts Alkylation of benzene","Reagentsa halogenoalkane (RX) and anhydrous aluminium chloride AlCl3"
"Aromatic Chemistry","What are the conditionsfor the Friedel Crafts Alkylation of benzene","Conditions reflux ; dry inert solvent (ether)"
"Aromatic Chemistry","Write an equation for the Friedel Crafts Alkylation of benzene with chloroethane.","C6H6+C2H5Cl———>C6H5C2H5+HCl"
"Aromatic Chemistry","Draw out the mechanism for the Friedel Crafts alklyation by chloroethane.","..."
"Aromatic Chemistry","What are the reagentsfor the Friedel Crafts Acylation of benzene","Reagentsan acyl chloride (RCOX) and anhydrous aluminium chloride AlCl3"
"Aromatic Chemistry","What are the conditionsfor the Friedel Crafts Acylation of benzene","Conditions reflux 50°C; dry inert solvent (ether)"
"Aromatic Chemistry","Write an equation for the Friedel Crafts Acylation of benzene by ethanoyl chloride","C6H6+CH3COCl———>C6H5COCH3+HCl"
"Carbonyl Compounds","Why do aldehydes and ketones have higher boiling points than alkanes with the same number of carbon atoms?","The carbonyl bond means that there are permanent dipole dipole interactions between the molecules which are not present between the alkane molecule"
"Carbonyl Compounds","Why do aldehydes and ketones have lower boiling points than alcohols with the same number of carbon atoms?","There is hydrogen bonding between the alcohol molecules. This is a stronger intermolecular force than the dipole dipole attractions between the carbonyl compounds"
"Carbonyl Compounds","Why are small carbonyl compounds miscible in water?","The formation of hydrogen bonds from the water to the oxygen of the carbonyl compound."
"Carbonyl Compounds","Why is the carbonyl bond polar?","The difference in electronegativity between carbon and oxygen"
"Carbonyl Compounds","What is the difference in structure between an aldehyde and ketone?","ALDEHYDES have at least one H attached to the carbonyl group. Ketones have two carbons attached to the carbonyl group."
"Carbonyl Compounds","Name this molecule CH3CH2COCH2CH3","pentan-3-one"
"Carbonyl Compounds","Draw the structural formulae of this molecule phenylethanone","..."
"Carbonyl Compounds","Explain in detail the technique recrystallization.","Dissolve the solute in the minimum volume of hot solvent, cool the solution to allow the crystals to form, remove the crystals by vacuum filtration,dry the resulting crystals in an oven."
"Carbonyl Compounds","What measurement of a substance is the best measure of its purity","Melting Point"
"Carbonyl Compounds","Give the name of a suitable reducing agent for the reduction of a carbonyl compound to an alcohol.","Lithium Tetrahyridoaluminate, Sodium Tetrahydridoborate"
"Carbonyl Compounds","What is the nucleophile produced by NaBH4 and LiAlH4?","H-"
"Carbonyl Compounds","Draw the mechanism for the reduction of butanal to butanol","..."
"Carbonyl Compounds","Why is Propanoyl chloride more easily reduced by Hydride ions than Propanal.","Chlorine are more electronegative than carbon, Atoms attached to the carbonyl carbon that are more electronegative than carbon make it more delta positive (1)
More delta positive the carbonyl carbon is the more reactive it is, towards nucleophiles such as H-, Therefore carbonyl carbon is most delta positive in propanoyl chloride (1) and propanoyl chloride is the most reactive with H-."
"Carbonyl Compounds","What are the reagents for the nucleophilic addition of cyanide ions to aldehydes or ketone?","hydrogen cyanide - HCN in the presence of KCN"
"Carbonyl Compounds","What are the conditions for the nucleophilic addition of cyanide ions to aldehydes or ketone?","reflux in alkaline solution"
"Carbonyl Compounds","What is the structural formula of the product of the reaction of these two molecules CH3CHO +HCN","CH3CH(OH)CN"
"Carbonyl Compounds","Draw out the mechanism for the reaction between these two molecules CH3CHO +HCN","..."
"Thermodynamics","What does a negative free energy change tell us?","The process is spontaneous (feasible)."
"Thermodynamics","Define enthalpy change","The heat change at constant pressure"
"Thermodynamics","Define enthalpy of atomisation of an element.","The enthalpy change when one mole of gaseous atoms is formed from the element in its standard state"
"Thermodynamics","Define enthalpy of hydration.","The standard enthalpy change when water molecules surround one mole of gaseous ions."
"Thermodynamics","Define enthalpy of solution.","The standard enthalpy change when one mole of an ionic solid dissolves completely in sufficent water to fom a soltuion in which the ions are far enough apart not to interact with each other"
"Thermodynamics","Define first electron affinity.","The standard enthalpy change when a mole of gaseous atoms is converted to a mole of gaseous ions each with a single negative charge."
"Thermodynamics","Define first ionisation energy.","The standard enthalpy change when one mole of gaseous atoms is converted into a mole of gaseous ions each with a single positive charge."
"Thermodynamics","Define lattice dissociation enthalpy.","The standard enthalpy change when one mole of solid ionic compound is broken up into its free gaseous ions."
"Thermodynamics","Define lattice formation enthalpy.","The standard enthalpy change when one mole of solid ionic compound is formed from its free gaseous ions."
"Thermodynamics","Define mean bond enthalpy.","The enthalpy change when one mole of covalent bodns is broken, with all species in the gaseous state, average over a range of different compounds."
"Thermodynamics","Define second electron affinity.","The standard enthalpy change when a mole of electrons is added to a mole of gaseous ions each with a single negative charge to form ions each with a double negative charge."
"Thermodynamics","Define second ionisation energy.","The standard enthalpy change when one mole of gaseous unipositive ions is converted into a mole of gaseous ions each with a double positive charge."
"Thermodynamics","Define standard enthalpy of atomisation of a compound.","The enthalpy change when one mole of a compound in its standard state is converted into its free gaseous atoms."
"Thermodynamics","Define standard enthalpy of combustion.","The enthalpy change when one mole of a substance is completely burned in oxygen under standard comditions, all reactants and products being in their standard states."
"Thermodynamics","Define standard enthalpy of formation.","The enthalpy change when one mole of a substance is produced from its constituent elements under standard comditions, all reactants and products being in their standard states."
"Thermodynamics","Define the Perfect Ionic Model.","A mathematical calculation of the lattice formation enthalpy of a compound, which assumes that the positive and negative ions are perfectly spherical and that there is no covalent character in the compound."
"Thermodynamics","State Hess's Law","The enthapy change of a reaction depends only on the initial and final states of the reaction and is independent of the route by which the reaction occurs."
"Thermodynamics","What are standard conditions?","A standard pressure of 100 kPa and a stated temperature"
"Thermodynamics","What is entropy?","A measure of disorder"
"Thermodynamics","What is the entropy change?","The change in disorder of a system.An increase in disorder produces a postive entropy change."
"Amino acids, proteins & DNA","What does DNA stand for?","Deoxyribonucleic acid"
"Amino acids, proteins & DNA","What is an amino acid?","A biological molecule with two functional groups"
"Amino acids, proteins & DNA","What is DNA?","A large molecule containing genetic information"
"Amino acids, proteins & DNA","What is formed from different amino acids combined in one chain?","Proteins"
"Amino acids, proteins & DNA","What is the structure of DNA?","Two polymer chains made from nucleotides in the form of a double helix"
"Amino acids, proteins & DNA","Which functional groups do amino acids have?","NH₂ and -COOH"
"Structure determination","Complete the following statement - All nuclei with the same chemical environment have the same __________ ___________","Chemical Shift"
"Structure determination","How many peaks (not including splitting) are found in the1H NMR spectrum of butanoic acid?","4"
"Structure determination","How many peaks (not including splitting) are found in the 1H NMR spectrum of ethyl ethanoate?","3"
"Structure determination","How many peaks (not including splitting) are found in the 1H NMR spectrum of methyl propanoate?","3"
"Structure determination","How many peaks (not including splitting) are found in the 1H NMR spectrum of propyl methanoate?","4"
"Structure determination","How many peaks are found in the13C NMR spectrum of butanoic acid?","4"
"Structure determination","How many peaks are found in the13C NMR spectrum of ethyl ethanoate?","4"
"Structure determination","How many peaks are found in the13C NMR spectrum of methyl propanoate?","4"
"Structure determination","How many peaks are found in the13C NMR spectrum of propyl methanoate?","4"
"Structure determination","In1H NMR Spectroscopy what does the integration data tell us?","Relative number of equivalent H atoms in the molecule"
"Structure determination","In1H NMR Spectroscopy what does the splittin pattern tell us?","The number of adjacent, non-equivalent protons according to the n + 1 rule"
"Structure determination","In NMR Spectroscopy what does the number of peaks relate to?","The number of different environments"
"Structure determination","In NMR Spectroscopy what the chemical shift tell us?","The molecular environment"
"Structure determination","What is the n + 1 rule?","It gives the number of peaks into which the signal of the neighbouring envionment will be split"
"Structure determination","What is TMS?","Tetramethylsilane. Its used as the standard for NMR Spectroscopy and its peak is set to zero on the chemical shift scale"
"Structure determination","Why are the advantages of TMS?","Volatile, inert, it has signals that are well to the right of the majority fo the peaks in organic chemistry and it has one environment"
"Structure determination","Why is deuterated trichloromethane used as the solvent in1H NMR spectroscopy (instead of undeuterated trichloromethane)?","Deuterium is not NMR active and therefore doesn’t show up on the spectrum - it is still used in13C but the peak can removed by the computer software"
"Chromatography","Describe CC.","A column is packed with a solid (silica) and a solvent moves down the column"
"Chromatography","Describe GC.","A column is packed with a solid or with a solid coated by a liquid, and an inert gas is passed through the column under pressure at high temperature"
"Chromatography","Describe TLC.","A plate is coated with a solid (silica on a plastic plate) and a solvent moves up the plate"
"Chromatography","In GC, what is the retention time?","The time taken for the substances to be eluted"
"Chromatography","What are the general names given to the phases in chromatography?","Stationary and mobile"
"Chromatography","What does CC stand for?","Column Chromatography"
"Chromatography","What does GC stand for?","Gas Chromatography"
"Chromatography","What does TLC stand for?","Thin Layer Chromatography"
"Chromatography","What is chromatography?","A process to separate the constituents of a mixture (usually coloured dyes at iGCSE) - separation depends on the balance between solubility in the mobile phase and the retention by the stationary phase"
"Chromatography","What is the Rfvalue and how is it calculated?","Retention factor = (distance moved by the component of a solute)/(distance moved by the solvent)"
"Transition Metals","Define bidentate ligand","A ligand which can donate two lone pairs of electrons to form two coordinate bonds with the central metal ion"
"Transition Metals","Define complex","A central metal ion surrounded by ligands"
"Transition Metals","Define coordinate (dative covalent) bond.","An electrostatic foce of attracion between the shared pair of electrons and the nuclei of the atoms invovled where both elctrons are from the same atom."
"Transition Metals","Define coordination number.","the number of dative covalent bonds formed to a central metal ion in a complex"
"Transition Metals","Define ligand.","A molecule or ion which can donate one or more lone pairs of electrons to form coordinate (date covalent) bond(s) with a central metal ion in a complex"
"Transition Metals","Define monodentate ligand.","A ligand which can donate one lone pair of electrons to form one coordinate bond with the central metal ion"
"Transition Metals","Define multidentate ligand","A ligand which can donate multiple lone pairs of electrons to form multiple coordinate bonds with the central metal ion"
"Transition Metals","In general, what is a d-block element?","An element whose outermost electron is in a d orbital"
"Transition Metals","In general, what is a ligand substitution reaction?","A reaction in which one or more ligands is/are repalced by one or more different ligands in a complex"
"Transition Metals","In general, what is a transition element?","An element which has at least one stable ion with a partially filled d-orbital"
"Transition Metals","In general, what is the chelate effect?","When several unidentate ligands are replaced by multidentate ligands in a complex."
